tract,white_hh,black_hh,latino_hh,asian_hh,oth_hh,non_white_hh,white_owners,black_owners,latino_owners,asian_owners,oth_owners,non_white_owners,loans_white,loans_black,loans_latino,loans_asian,loans_oth,loans_non_white,loans_miss,amount_white,amount_black,amount_latino,amount_asian,amount_oth,amount_non_white,amount_miss,loans_lmi,loans_mi,loans_ui,amount_lmi,amount_mi,amount_ui,loans_low_inc,amount_low_inc,total_owners,total_hh,total_loans,total_loan_amount,white_hh_share,black_hh_share,latino_hh_share,asian_hh_share,oth_hh_share,non_white_hh_share,white_own_shr,black_own_shr,latino_own_shr,asian_own_shr,oth_own_shr,non_white_own_shr,loans_white_shr,loans_black_shr,loans_latino_shr,loans_asian_shr,loans_oth_shr,loans_non_white_shr,loans_miss_shr,community_def_race,med_income_msa_shr,income_level,low_inc,loans_lmi_shr,loans_mi_shr,loans_ui_shr,community_area,sb_count,sb_amount,loan_to_sb_count,loan_to_sb_amount,ams_res,ams_bus,ams_oth,loans_Bank,loans_Credit_Union,loans_IMB,loans_Other,volume_Bank,volume_Credit_Union,volume_IMB,volume_Other,top_3_shr,loans_Large,loans_Medium,loans_Small,volume_Large,volume_Medium,volume_Small,loans_cra,cra_non_white_bor,retail_area_loans
431200,19,1078,9,0,16,1103,19,700,0,0,16,716,3,65,3,2,2,72,7,665000,14395000,865000,340000,0,15600000,1885000,35,32,15,6135000,8100000,4465000,28,5380000,735,1122,75,16265000,0.016934046,0.960784314,0.00802139,0,0.01426025,0.983065954,0.02585034,0.952380952,0,0,0.021768707,0.97414966,0.04,0.866666667,0.04,0.026666667,0.026666667,0.96,0.093333333,Minority Com,92.7,MI,not_low,0.426829268,0.390243902,0.182926829,South Shore,104,2212,32,1184,1251,81,73,21,2,52,0,4865000,450000,11500000,0,0.253333333,10,4,7,2470000,670000,1725000,4,3,NA
431301,46,1184,11,26,15,1236,30,174,11,0,4,189,2,25,3,0,1,29,11,540000,7505000,1055000,0,0,8560000,3505000,16,14,12,3910000,4550000,4560000,13,3495000,219,1282,31,9100000,0.035881435,0.923556942,0.008580343,0.020280811,0.011700468,0.964118565,0.136986301,0.794520548,0.050228311,0,0.01826484,0.863013699,0.064516129,0.806451613,0.096774194,0,0.032258065,0.935483871,0.35483871,Minority Com,30.57,LMI,not_low,0.380952381,0.333333333,0.285714286,South Shore,51,552,19,164,1606,73,396,8,0,23,0,2390000,0,7125000,0,0.290322581,1,1,6,415000,195000,1780000,6,4,NA
431302,27,1354,86,0,3,1443,4,155,11,0,0,166,1,33,2,0,0,35,9,155000,9025000,260000,0,0,9285000,2755000,12,21,12,2370000,5685000,4140000,10,2080000,170,1470,36,9440000,0.018367347,0.921088435,0.058503401,0,0.002040816,0.981632653,0.023529412,0.911764706,0.064705882,0,0,0.976470588,0.027777778,0.916666667,0.055555556,0,0,0.972222222,0.25,Minority Com,37.71,LMI,not_low,0.266666667,0.466666667,0.266666667,South Shore,90,4187,30,385,5055,269,474,10,1,25,0,2260000,155000,7025000,0,0.277777778,4,1,5,860000,415000,985000,6,6,NA
431400,220,3046,38,0,107,3191,93,319,0,0,21,340,7,16,1,0,1,18,3,1375000,3060000,125000,0,0,3185000,875000,8,12,8,900000,2540000,2220000,5,685000,433,3411,25,4560000,0.064497215,0.892993257,0.011140428,0,0.0313691,0.935502785,0.2147806,0.736720554,0,0,0.048498845,0.7852194,0.28,0.64,0.04,0,0.04,0.72,0.12,Minority Com,42.3,LMI,not_low,0.285714286,0.428571429,0.285714286,South Shore,81,2012,32,257,4230,68,383,8,0,16,1,1330000,0,3380000,75000,0.28,6,0,2,910000,0,420000,5,5,1
440101,0,1944,0,0,33,1977,0,117,0,0,0,117,0,25,1,0,0,26,3,0,6365000,335000,0,0,6700000,645000,13,10,5,2635000,2680000,1675000,8,2040000,117,1977,26,6700000,0,0.983308042,0,0,0.016691958,1,0,1,0,0,0,1,0,0.961538462,0.038461538,0,0,1,0.115384615,Minority Com,39.03,LMI,not_low,0.464285714,0.357142857,0.178571429,Chatham,52,753,16,299,2506,83,719,5,0,21,0,1065000,0,5635000,0,0.384615385,2,1,2,400000,305000,360000,4,4,NA
440102,115,1478,65,0,11,1554,33,277,0,0,0,277,0,30,1,0,0,31,3,0,6230000,85000,0,0,6315000,1075000,15,13,6,2635000,2895000,1860000,13,2415000,310,1669,31,6315000,0.068903535,0.885560216,0.038945476,0,0.006590773,0.931096465,0.106451613,0.893548387,0,0,0,0.893548387,0,0.967741935,0.032258065,0,0,1,0.096774194,Minority Com,37.79,LMI,not_low,0.441176471,0.382352941,0.176470588,Chatham,94,2465,36,648,2017,125,561,11,1,19,0,2035000,245000,4035000,0,0.290322581,6,2,3,910000,350000,775000,7,7,1
440201,40,2333,0,0,61,2394,0,529,0,0,36,565,1,56,1,0,0,57,11,225000,14950000,185000,0,0,15135000,3005000,27,21,20,6645000,5695000,5840000,26,6600000,565,2434,58,15360000,0.016433854,0.958504519,0,0,0.025061627,0.983566146,0,0.936283186,0,0,0.063716814,1,0.017241379,0.965517241,0.017241379,0,0,0.982758621,0.189655172,Minority Com,55.42,LMI,low_inc,0.397058824,0.308823529,0.294117647,Chatham,101,1486,44,579,2682,173,566,14,2,42,0,3850000,260000,11250000,0,0.344827586,5,1,8,1365000,305000,2180000,7,7,NA
440202,14,1525,44,16,3,1588,14,604,10,16,3,633,0,44,2,0,0,46,8,0,8720000,490000,0,0,9210000,1680000,23,22,9,4145000,4490000,2255000,12,2500000,647,1602,46,9210000,0.008739076,0.951935081,0.027465668,0.009987516,0.001872659,0.991260924,0.021638331,0.933539413,0.015455951,0.024729521,0.004636785,0.978361669,0,0.956521739,0.043478261,0,0,1,0.173913043,Minority Com,51.81,LMI,low_inc,0.425925926,0.407407407,0.166666667,Chatham,77,965,30,332,2159,114,334,13,3,30,0,2605000,545000,6060000,0,0.260869565,6,2,5,1230000,460000,915000,10,8,NA
440300,34,2028,0,0,0,2028,34,1270,0,0,0,1270,1,121,2,0,3,126,21,195000,24355000,200000,0,0,24555000,4055000,79,46,22,14125000,10230000,5020000,65,11985000,1304,2062,127,24750000,0.016488846,0.983511154,0,0,0,0.983511154,0.02607362,0.97392638,0,0,0,0.97392638,0.007874016,0.952755906,0.015748031,0,0.023622047,0.992125984,0.165354331,Minority Com,79.22,LMI,low_inc,0.537414966,0.31292517,0.149659864,Chatham,131,3154,63,1698,2226,118,201,35,2,90,0,6765000,230000,18510000,0,0.244094488,16,5,14,3240000,805000,2720000,21,17,1
440600,0,724,0,0,9,733,0,576,0,0,9,585,1,56,2,0,0,58,14,135000,9480000,230000,0,0,9710000,2250000,38,27,8,5730000,4645000,1720000,28,4400000,585,733,59,9845000,0,0.987721692,0,0,0.012278308,1,0,0.984615385,0,0,0.015384615,1,0.016949153,0.949152542,0.033898305,0,0,0.983050847,0.237288136,Minority Com,91.77,MI,not_low,0.520547945,0.369863014,0.109589041,Chatham,63,1217,23,147,845,27,7,17,1,41,0,2715000,235000,6895000,0,0.355932203,6,4,7,980000,520000,1215000,8,8,NA
