tract,white_hh,black_hh,latino_hh,asian_hh,oth_hh,non_white_hh,white_owners,black_owners,latino_owners,asian_owners,oth_owners,non_white_owners,loans_white,loans_black,loans_latino,loans_asian,loans_oth,loans_non_white,loans_miss,amount_white,amount_black,amount_latino,amount_asian,amount_oth,amount_non_white,amount_miss,loans_lmi,loans_mi,loans_ui,amount_lmi,amount_mi,amount_ui,loans_low_inc,amount_low_inc,total_owners,total_hh,total_loans,total_loan_amount,white_hh_share,black_hh_share,latino_hh_share,asian_hh_share,oth_hh_share,non_white_hh_share,white_own_shr,black_own_shr,latino_own_shr,asian_own_shr,oth_own_shr,non_white_own_shr,loans_white_shr,loans_black_shr,loans_latino_shr,loans_asian_shr,loans_oth_shr,loans_non_white_shr,loans_miss_shr,community_def_race,med_income_msa_shr,income_level,low_inc,loans_lmi_shr,loans_mi_shr,loans_ui_shr,community_area,sb_count,sb_amount,loan_to_sb_count,loan_to_sb_amount,ams_res,ams_bus,ams_oth,loans_Bank,loans_Credit_Union,loans_IMB,loans_Other,volume_Bank,volume_Credit_Union,volume_IMB,volume_Other,top_3_shr,loans_Large,loans_Medium,loans_Small,volume_Large,volume_Medium,volume_Small,loans_cra,cra_non_white_bor,retail_area_loans
10100,953,980,304,46,67,1397,315,58,87,31,17,193,56,18,18,5,3,44,15,13820000,2640000,3500000,1565000,0,7705000,4565000,41,36,37,6765000,8170000,11545000,30,5520000,508,2350,100,21525000,0.405531915,0.417021277,0.129361702,0.019574468,0.028510638,0.594468085,0.62007874,0.114173228,0.171259843,0.061023622,0.033464567,0.37992126,0.56,0.18,0.18,0.05,0.03,0.44,0.15,Mixed Com,75.41,LMI,low_inc,0.359649123,0.315789474,0.324561404,Rogers Park,100,983,52,530,2299,99,710,24,3,71,2,5950000,685000,15175000,490000,0.32,15,3,6,3595000,565000,1790000,21,18,1
10201,1051,841,522,85,256,1704,411,98,150,13,71,332,77,20,35,7,3,65,20,15485000,4460000,6835000,1545000,0,12840000,3490000,78,48,34,11300000,9850000,10640000,53,8405000,743,2755,142,28325000,0.381488203,0.305263158,0.189473684,0.030852995,0.09292196,0.618511797,0.553162853,0.131897712,0.201884253,0.017496635,0.095558546,0.446837147,0.542253521,0.14084507,0.246478873,0.049295775,0.021126761,0.457746479,0.14084507,Mixed Com,54.7,LMI,low_inc,0.4875,0.3,0.2125,Rogers Park,124,1303,60,370,2740,117,1040,49,3,87,3,8785000,635000,19015000,365000,0.26056338,21,8,20,3895000,870000,4020000,26,25,3
10202,360,458,208,39,48,753,164,51,36,8,2,97,25,4,5,5,4,18,7,6485000,760000,655000,975000,0,2390000,1285000,29,6,15,3835000,1160000,5765000,16,2300000,261,1113,43,8875000,0.323450135,0.411500449,0.1868823,0.035040431,0.043126685,0.676549865,0.62835249,0.195402299,0.137931034,0.030651341,0.007662835,0.37164751,0.581395349,0.093023256,0.11627907,0.11627907,0.093023256,0.418604651,0.162790698,Mixed Com,50.23,LMI,low_inc,0.58,0.12,0.3,Rogers Park,104,3406,49,1006,1091,105,350,16,1,25,1,4750000,205000,4415000,105000,0.302325581,4,7,5,930000,2605000,1215000,9,8,2
10300,1704,822,398,16,156,1392,764,148,83,0,41,272,97,20,22,10,3,55,22,21825000,3490000,4290000,1700000,0,9480000,3840000,78,48,46,12050000,8670000,14620000,61,9985000,1036,3096,152,31305000,0.550387597,0.265503876,0.128552972,0.005167959,0.050387597,0.449612403,0.737451737,0.142857143,0.08011583,0,0.03957529,0.262548263,0.638157895,0.131578947,0.144736842,0.065789474,0.019736842,0.361842105,0.144736842,Mixed Com,58.05,LMI,low_inc,0.453488372,0.279069767,0.26744186,Rogers Park,158,4009,81,943,2999,99,708,56,2,93,1,11310000,560000,19815000,205000,0.375,29,7,20,6215000,1375000,3720000,36,35,5
10400,1319,360,175,69,55,659,320,55,31,16,13,115,49,5,11,5,1,22,19,13415000,875000,2235000,1525000,0,4635000,6555000,25,19,46,4405000,4665000,15830000,21,3855000,435,1978,71,18050000,0.666835187,0.182002022,0.088473205,0.034883721,0.027805865,0.333164813,0.735632184,0.126436782,0.071264368,0.036781609,0.029885057,0.264367816,0.690140845,0.070422535,0.154929577,0.070422535,0.014084507,0.309859155,0.267605634,Mixed Com,89.75,MI,not_low,0.277777778,0.211111111,0.511111111,Rogers Park,112,1497,52,599,2276,79,454,14,7,50,0,2580000,1795000,13970000,0,0.267605634,8,2,4,1280000,420000,880000,4,4,1
10501,1304,656,180,55,132,1023,274,14,0,13,10,37,59,11,11,6,5,33,13,13115000,1825000,1715000,1070000,0,4610000,2145000,45,30,30,6155000,5950000,8680000,36,5080000,311,2327,92,17725000,0.560378169,0.281908036,0.077352815,0.023635582,0.056725398,0.439621831,0.881028939,0.045016077,0,0.041800643,0.032154341,0.118971061,0.641304348,0.119565217,0.119565217,0.065217391,0.054347826,0.358695652,0.141304348,Mixed Com,70.95,LMI,low_inc,0.428571429,0.285714286,0.285714286,Rogers Park,93,2410,41,1600,2554,69,543,29,1,62,0,6085000,205000,12350000,0,0.391304348,14,4,11,3220000,940000,1925000,23,17,2
10502,958,344,101,81,13,539,286,15,10,24,0,49,52,6,7,5,2,20,12,11070000,1030000,1075000,1265000,0,3370000,2830000,33,22,28,5245000,4970000,7330000,25,4215000,335,1497,72,14440000,0.63994656,0.229792919,0.06746827,0.054108216,0.008684035,0.36005344,0.853731343,0.044776119,0.029850746,0.071641791,0,0.146268657,0.722222222,0.083333333,0.097222222,0.069444444,0.027777778,0.277777778,0.166666667,Mixed Com,72.31,LMI,low_inc,0.397590361,0.265060241,0.337349398,Rogers Park,114,2872,53,717,1780,42,455,27,3,40,2,5485000,585000,8330000,530000,0.375,13,4,10,2495000,930000,2060000,16,15,2
10503,696,134,38,131,61,364,162,0,18,9,0,27,8,0,0,0,0,0,4,2190000,0,0,0,0,0,1670000,3,2,7,685000,540000,2635000,3,685000,189,1060,8,2190000,0.656603774,0.126415094,0.035849057,0.123584906,0.05754717,0.343396226,0.857142857,0,0.095238095,0.047619048,0,0.142857143,1,0,0,0,0,0,0.5,Mixed Com,0,NA,not_low,0.25,0.166666667,0.583333333,Rogers Park,42,1815,18,168,1200,80,187,5,0,2,1,1495000,0,460000,235000,0.375,2,0,3,400000,0,1095000,3,2,NA
10600,1672,576,494,104,51,1225,487,74,40,46,0,160,132,10,27,11,2,50,22,30090000,1820000,5995000,2145000,265000,10225000,4110000,75,66,61,12265000,13370000,18695000,56,9730000,647,2897,182,40315000,0.577148775,0.198826372,0.170521229,0.035899206,0.017604418,0.422851225,0.752704791,0.114374034,0.061823802,0.071097372,0,0.247295209,0.725274725,0.054945055,0.148351648,0.06043956,0.010989011,0.274725275,0.120879121,Mixed Com,85.78,MI,not_low,0.371287129,0.326732673,0.301980198,Rogers Park,157,4267,79,1066,2845,120,839,51,11,115,5,12175000,2105000,25255000,995000,0.307692308,22,7,22,4750000,1985000,5440000,7,6,2
10701,829,307,230,138,9,684,470,117,106,31,5,259,78,11,11,6,1,29,18,18460000,2195000,2435000,1510000,0,6140000,3580000,52,31,40,8030000,6275000,14090000,38,6200000,729,1513,107,24600000,0.547918044,0.20290813,0.152015863,0.091209518,0.005948447,0.452081956,0.644718793,0.160493827,0.145404664,0.042524005,0.006858711,0.355281207,0.728971963,0.102803738,0.102803738,0.056074766,0.009345794,0.271028037,0.168224299,Mixed Com,76.74,LMI,low_inc,0.422764228,0.25203252,0.325203252,Rogers Park,98,2677,47,1416,1338,22,409,38,3,66,0,9390000,355000,15400000,0,0.299065421,15,7,16,3745000,1285000,4360000,20,18,6
10702,985,525,439,98,42,1104,287,88,73,32,8,201,65,22,12,14,2,50,20,12585000,3430000,1780000,2070000,0,7280000,3620000,65,39,30,9025000,7495000,7170000,43,6275000,488,2089,115,19865000,0.471517472,0.251316419,0.210148396,0.046912398,0.020105314,0.528482528,0.588114754,0.180327869,0.149590164,0.06557377,0.016393443,0.411885246,0.565217391,0.191304348,0.104347826,0.12173913,0.017391304,0.434782609,0.173913043,Mixed Com,49.21,LMI,not_low,0.485074627,0.291044776,0.223880597,Rogers Park,141,3979,78,2208,2050,208,584,38,3,73,1,6440000,455000,13175000,125000,0.330434783,22,5,11,4020000,695000,1725000,27,23,1
20100,647,382,331,101,65,879,372,120,105,36,19,280,33,22,18,4,1,45,18,7315000,4420000,2920000,850000,215000,8405000,3400000,50,23,23,7330000,4795000,6995000,30,5210000,652,1526,78,15720000,0.423984273,0.250327654,0.216906946,0.066186107,0.04259502,0.576015727,0.570552147,0.18404908,0.161042945,0.055214724,0.029141104,0.429447853,0.423076923,0.282051282,0.230769231,0.051282051,0.012820513,0.576923077,0.230769231,Mixed Com,76.81,LMI,low_inc,0.520833333,0.239583333,0.239583333,West Ridge,150,2753,85,1082,1550,116,470,22,5,51,0,4000000,1125000,10595000,0,0.346153846,12,2,8,2310000,210000,1480000,19,14,NA
20200,1085,277,270,372,62,981,979,93,135,327,37,592,105,12,8,14,0,34,21,39695000,3460000,2320000,3300000,0,9080000,8295000,31,61,68,7285000,20315000,29470000,22,5290000,1571,2066,139,48775000,0.525169409,0.134075508,0.130687318,0.180058083,0.030009681,0.474830591,0.623169955,0.059197963,0.085932527,0.208147677,0.023551878,0.376830045,0.755395683,0.086330935,0.057553957,0.100719424,0,0.244604317,0.151079137,Mixed Com,103.06,MI,not_low,0.19375,0.38125,0.425,West Ridge,552,17696,271,4223,2179,195,243,61,1,77,0,22385000,335000,26055000,0,0.402877698,18,11,32,4890000,6485000,11010000,11,9,4
20301,1668,73,151,163,58,445,1224,35,79,163,33,310,114,3,12,23,0,38,27,26420000,765000,2210000,3485000,0,6460000,8005000,78,44,57,10520000,9080000,21285000,51,7555000,1534,2113,152,32880000,0.789398959,0.034548036,0.071462376,0.077141505,0.027449124,0.210601041,0.79791395,0.022816167,0.051499348,0.106258149,0.021512386,0.20208605,0.75,0.019736842,0.078947368,0.151315789,0,0.25,0.177631579,Perdom. White,96.25,MI,not_low,0.43575419,0.245810056,0.318435754,West Ridge,419,12149,231,3036,2194,66,58,70,3,79,0,15170000,485000,17225000,0,0.394736842,32,6,32,5230000,990000,8950000,23,21,4
20302,1087,212,144,200,67,623,656,170,37,127,20,354,63,5,17,14,1,37,13,16755000,1065000,2695000,2480000,0,6240000,4315000,47,35,30,7105000,9105000,10940000,30,5070000,1010,1710,100,22995000,0.635672515,0.123976608,0.084210526,0.116959064,0.039181287,0.364327485,0.64950495,0.168316832,0.036633663,0.125742574,0.01980198,0.35049505,0.63,0.05,0.17,0.14,0.01,0.37,0.13,Mixed Com,88.5,MI,not_low,0.419642857,0.3125,0.267857143,West Ridge,183,3948,93,2105,1662,102,471,37,1,62,0,8275000,125000,14720000,0,0.27,12,6,19,2670000,1010000,4595000,10,10,2
20400,829,368,249,169,58,844,543,71,127,116,39,353,48,9,16,12,4,41,14,13630000,1495000,2940000,2000000,0,6435000,3870000,36,23,43,4730000,5665000,14695000,23,3345000,896,1673,89,20065000,0.495517035,0.219964136,0.148834429,0.101016139,0.034668261,0.504482965,0.606026786,0.079241071,0.141741071,0.129464286,0.043526786,0.393973214,0.539325843,0.101123596,0.179775281,0.134831461,0.04494382,0.460674157,0.157303371,Mixed Com,73.76,LMI,low_inc,0.352941176,0.225490196,0.421568627,West Ridge,155,2852,79,965,1607,65,431,24,3,61,1,5250000,445000,15375000,265000,0.370786517,14,3,7,2680000,745000,1825000,22,15,2
20500,424,346,484,673,165,1668,93,124,74,222,32,452,25,12,12,16,1,41,9,4415000,3480000,2190000,2910000,0,8580000,915000,49,15,11,6475000,4175000,3465000,27,3795000,545,2092,66,12995000,0.202676864,0.165391969,0.231357553,0.321701721,0.078871893,0.797323136,0.170642202,0.227522936,0.135779817,0.40733945,0.058715596,0.829357798,0.378787879,0.181818182,0.181818182,0.242424242,0.015151515,0.621212121,0.136363636,Minority Com,54.61,LMI,low_inc,0.653333333,0.2,0.146666667,West Ridge,229,5296,91,1559,2245,128,649,23,1,42,0,3965000,125000,9110000,0,0.409090909,11,3,9,1715000,415000,1835000,15,13,2
20601,1144,75,119,423,193,810,629,15,62,187,28,292,53,11,11,20,2,44,6,15835000,3095000,3025000,5370000,0,11490000,1610000,45,25,33,9365000,7325000,12665000,26,6450000,921,1954,97,27325000,0.585465711,0.038382805,0.060900716,0.216479017,0.09877175,0.414534289,0.682953312,0.016286645,0.067318132,0.203040174,0.030401737,0.317046688,0.546391753,0.113402062,0.113402062,0.206185567,0.020618557,0.453608247,0.06185567,Mixed Com,66.07,LMI,low_inc,0.436893204,0.242718447,0.32038835,West Ridge,371,6992,208,4389,2002,167,574,30,1,65,1,7690000,205000,19365000,485000,0.360824742,13,4,13,2895000,940000,3855000,15,14,3
20602,712,115,177,356,14,662,481,9,16,93,1,119,26,6,9,19,0,34,5,8540000,2280000,3405000,7215000,0,12900000,1505000,17,17,30,4465000,6065000,12150000,12,3430000,600,1374,60,21440000,0.518195051,0.083697234,0.128820961,0.259097525,0.010189229,0.481804949,0.801666667,0.015,0.026666667,0.155,0.001666667,0.198333333,0.433333333,0.1,0.15,0.316666667,0,0.566666667,0.083333333,Mixed Com,60.43,LMI,low_inc,0.265625,0.265625,0.46875,West Ridge,196,4680,109,1849,1115,127,343,16,3,41,0,5780000,1205000,14455000,0,0.3,7,2,7,2005000,700000,3075000,11,9,1
20701,466,28,70,108,7,213,306,5,44,99,4,152,38,0,7,8,1,16,8,15800000,0,2755000,2990000,0,5745000,3310000,2,17,43,370000,5925000,18995000,2,370000,458,679,54,21545000,0.686303387,0.041237113,0.103092784,0.159057437,0.010309278,0.313696613,0.668122271,0.010917031,0.096069869,0.216157205,0.008733624,0.331877729,0.703703704,0,0.12962963,0.148148148,0.018518519,0.296296296,0.148148148,Mixed Com,116.62,MI,not_low,0.032258065,0.274193548,0.693548387,West Ridge,270,12217,132,5338,608,285,98,16,2,36,0,6930000,1140000,13910000,0,0.37037037,7,2,7,3055000,980000,2895000,1,1,NA
20702,1114,211,548,504,14,1277,532,0,59,140,4,203,44,6,17,38,2,63,14,10740000,1820000,3455000,9010000,0,14285000,3530000,52,30,37,9050000,8440000,11155000,29,5585000,735,2391,107,25025000,0.465913844,0.088247595,0.229192806,0.210790464,0.005855291,0.534086156,0.723809524,0,0.080272109,0.19047619,0.005442177,0.276190476,0.411214953,0.056074766,0.158878505,0.355140187,0.018691589,0.588785047,0.130841121,Mixed Com,84.41,MI,not_low,0.43697479,0.25210084,0.31092437,West Ridge,332,8196,173,3602,2570,172,883,44,2,61,0,10000000,220000,15375000,0,0.252336449,17,5,22,3605000,1675000,4720000,17,14,2
20801,1150,17,474,454,129,1074,573,0,183,217,48,448,50,5,17,12,2,36,17,16860000,1745000,5415000,3960000,0,11120000,6705000,23,37,43,5025000,13295000,16925000,18,4120000,1021,2224,86,27980000,0.517086331,0.007643885,0.213129496,0.204136691,0.058003597,0.482913669,0.561214496,0,0.179236043,0.212536729,0.047012733,0.438785504,0.581395349,0.058139535,0.197674419,0.139534884,0.023255814,0.418604651,0.197674419,Mixed Com,66.64,LMI,low_inc,0.223300971,0.359223301,0.417475728,West Ridge,309,8561,151,2249,1476,184,467,35,2,49,0,10825000,570000,17145000,0,0.290697674,20,4,11,5910000,1580000,3335000,25,22,2
20802,870,199,347,631,271,1448,464,28,44,158,24,254,37,5,19,33,2,59,16,10205000,1025000,5085000,9705000,0,15815000,4800000,42,31,38,8030000,7835000,15360000,24,5080000,718,2318,96,26020000,0.375323555,0.085849871,0.149698016,0.272217429,0.11691113,0.624676445,0.646239554,0.038997214,0.061281337,0.22005571,0.033426184,0.353760446,0.385416667,0.052083333,0.197916667,0.34375,0.020833333,0.614583333,0.166666667,Mixed Com,62.59,LMI,low_inc,0.378378378,0.279279279,0.342342342,West Ridge,426,11054,231,6222,2232,296,890,36,2,58,0,8580000,320000,17630000,0,0.354166667,20,5,11,5320000,1155000,2105000,25,21,4
20901,686,375,370,411,108,1264,362,49,112,124,5,290,29,11,18,29,1,59,20,5095000,3315000,3510000,7205000,0,14030000,4060000,60,24,23,8720000,5350000,8795000,35,5475000,652,1950,88,19125000,0.351794872,0.192307692,0.18974359,0.210769231,0.055384615,0.648205128,0.555214724,0.075153374,0.171779141,0.190184049,0.007668712,0.444785276,0.329545455,0.125,0.204545455,0.329545455,0.011363636,0.670454545,0.227272727,Mixed Com,48.15,LMI,not_low,0.560747664,0.224299065,0.214953271,West Ridge,224,5216,107,1876,1887,133,797,29,1,57,1,4915000,105000,13895000,385000,0.284090909,16,4,9,2390000,710000,1815000,21,18,1
20902,647,234,293,454,15,996,369,48,166,298,6,518,26,10,9,13,1,33,7,5830000,1790000,1185000,1445000,0,4420000,1225000,38,15,13,4840000,3395000,3345000,21,2865000,887,1643,59,10250000,0.393791844,0.142422398,0.178332319,0.276323798,0.009129641,0.606208156,0.416009019,0.054114994,0.187147689,0.335963923,0.006764374,0.583990981,0.440677966,0.169491525,0.152542373,0.220338983,0.016949153,0.559322034,0.118644068,Mixed Com,55.54,LMI,low_inc,0.575757576,0.227272727,0.196969697,West Ridge,130,2034,72,870,1732,46,413,18,0,39,2,2800000,0,7295000,260000,0.288135593,9,2,7,1515000,240000,1045000,13,11,NA
30101,972,363,315,303,68,1049,480,58,35,154,11,258,70,6,16,19,1,42,18,13510000,1010000,3290000,3985000,0,8285000,4060000,30,38,61,4250000,7440000,14215000,21,3125000,738,2021,112,21795000,0.480950025,0.179614052,0.155863434,0.149925779,0.03364671,0.519049975,0.650406504,0.078590786,0.047425474,0.208672087,0.014905149,0.349593496,0.625,0.053571429,0.142857143,0.169642857,0.008928571,0.375,0.160714286,Mixed Com,80.8,MI,not_low,0.23255814,0.294573643,0.472868217,Edgewater,140,2840,70,1214,2577,57,171,41,4,67,0,7355000,640000,13945000,0,0.241071429,22,6,13,4070000,1040000,2245000,11,10,4
30102,993,359,161,242,121,883,447,81,39,40,50,210,85,7,17,14,1,39,18,17575000,1275000,3185000,2970000,0,7430000,3770000,48,46,48,6710000,8650000,13600000,38,5560000,657,1876,124,25005000,0.529317697,0.191364606,0.085820896,0.128997868,0.064498934,0.470682303,0.680365297,0.123287671,0.059360731,0.060882801,0.076103501,0.319634703,0.685483871,0.056451613,0.137096774,0.112903226,0.008064516,0.314516129,0.14516129,Mixed Com,96.13,MI,not_low,0.338028169,0.323943662,0.338028169,Edgewater,114,1786,55,1184,2381,56,135,30,4,86,4,5690000,440000,18190000,870000,0.298387097,16,4,10,3140000,850000,1700000,8,8,3
30103,448,276,72,81,9,438,122,30,36,37,3,106,18,4,4,5,2,15,11,4420000,760000,1150000,1075000,0,2985000,2025000,10,12,22,1600000,2600000,5540000,8,1380000,228,886,33,7405000,0.505643341,0.311512415,0.081264108,0.091422122,0.010158014,0.494356659,0.535087719,0.131578947,0.157894737,0.162280702,0.013157895,0.464912281,0.545454545,0.121212121,0.121212121,0.151515152,0.060606061,0.454545455,0.333333333,Mixed Com,0,NA,not_low,0.227272727,0.272727273,0.5,Edgewater,45,1026,29,720,1354,45,73,13,1,17,2,2965000,95000,4195000,460000,0.242424242,6,2,5,1380000,220000,1365000,9,7,1
30104,746,98,59,150,13,320,329,45,29,19,13,106,18,6,8,6,2,22,6,2030000,780000,1110000,690000,0,2580000,1200000,26,11,9,2820000,1635000,1585000,16,1830000,435,1066,40,4610000,0.699812383,0.091932458,0.055347092,0.140712946,0.012195122,0.300187617,0.756321839,0.103448276,0.066666667,0.043678161,0.029885057,0.243678161,0.45,0.15,0.2,0.15,0.05,0.55,0.15,Mixed Com,54.53,LMI,low_inc,0.565217391,0.239130435,0.195652174,Edgewater,47,1875,23,427,1085,47,77,19,1,20,0,2295000,95000,2450000,0,0.375,10,5,4,1250000,575000,470000,14,12,2
30200,2129,75,256,102,40,473,1179,59,19,41,4,123,168,14,18,11,4,47,35,55000000,4860000,4050000,4405000,205000,13520000,13555000,46,61,142,9280000,15805000,57610000,40,8440000,1302,2602,215,68520000,0.818216756,0.028823982,0.098385857,0.039200615,0.01537279,0.181783244,0.905529954,0.0453149,0.014592934,0.031490015,0.003072197,0.094470046,0.781395349,0.065116279,0.08372093,0.051162791,0.018604651,0.218604651,0.162790698,Perdom. White,136.62,UI,not_low,0.184738956,0.24497992,0.570281124,Edgewater,260,8895,139,4338,1890,163,711,71,10,124,10,26165000,2850000,37110000,3200000,0.325581395,43,9,19,15345000,4285000,6535000,10,6,11
30300,714,178,328,195,76,777,243,3,102,92,16,213,32,4,10,11,0,25,11,10860000,900000,3220000,2515000,0,6635000,3375000,24,13,31,3930000,3125000,13815000,14,2600000,456,1491,57,17495000,0.478873239,0.119382964,0.219986586,0.130784708,0.050972502,0.521126761,0.532894737,0.006578947,0.223684211,0.201754386,0.035087719,0.467105263,0.561403509,0.070175439,0.175438596,0.192982456,0,0.438596491,0.192982456,Mixed Com,55.57,LMI,low_inc,0.352941176,0.191176471,0.455882353,Edgewater,124,2873,66,1278,2248,200,342,16,3,38,0,4690000,1675000,11130000,0,0.350877193,8,2,6,2740000,330000,1620000,12,10,NA
30400,814,40,321,81,54,496,385,0,58,36,19,113,112,5,10,7,1,23,30,52650000,1125000,3340000,2195000,0,6660000,12830000,21,27,116,4035000,8365000,60030000,21,4035000,498,1310,135,59310000,0.621374046,0.030534351,0.245038168,0.061832061,0.041221374,0.378625954,0.773092369,0,0.116465863,0.072289157,0.03815261,0.226907631,0.82962963,0.037037037,0.074074074,0.051851852,0.007407407,0.17037037,0.222222222,Mixed Com,67.38,LMI,low_inc,0.12804878,0.164634146,0.707317073,Edgewater,160,4497,91,1472,1388,91,291,59,1,71,4,31875000,205000,26355000,1340000,0.42962963,42,10,7,21750000,7180000,2945000,54,47,2
30500,2082,131,382,183,118,814,941,97,232,136,37,502,178,2,22,12,2,38,37,56830000,510000,5210000,4010000,490000,10220000,11665000,52,61,138,9390000,15005000,53820000,45,8305000,1443,2896,216,67050000,0.718922652,0.045234807,0.131906077,0.063190608,0.040745856,0.281077348,0.652113652,0.067221067,0.160776161,0.094248094,0.025641026,0.347886348,0.824074074,0.009259259,0.101851852,0.055555556,0.009259259,0.175925926,0.171296296,Perdom. White,96.89,MI,not_low,0.207171315,0.243027888,0.549800797,Edgewater,307,8847,147,3408,2151,157,976,72,14,125,5,24960000,3460000,37125000,1505000,0.273148148,28,11,33,9460000,3775000,11725000,7,6,4
30601,818,320,179,354,21,874,277,21,14,95,0,130,48,3,3,8,0,14,14,12190000,775000,705000,1920000,0,3400000,2910000,21,26,28,3265000,6100000,9010000,17,2895000,407,1692,62,15590000,0.483451537,0.189125296,0.105791962,0.209219858,0.012411348,0.516548463,0.680589681,0.051597052,0.034398034,0.233415233,0,0.319410319,0.774193548,0.048387097,0.048387097,0.129032258,0,0.225806452,0.225806452,Mixed Com,68.31,LMI,low_inc,0.28,0.346666667,0.373333333,Edgewater,79,1515,43,407,1996,20,158,22,2,38,0,5020000,410000,10160000,0,0.387096774,16,0,6,3490000,0,1530000,19,17,NA
30603,707,334,236,138,57,765,142,10,0,0,6,16,17,0,3,0,0,3,3,3995000,0,385000,0,0,385000,1125000,5,6,12,595000,1410000,3500000,2,310000,158,1472,20,4380000,0.480298913,0.226902174,0.160326087,0.09375,0.038722826,0.519701087,0.898734177,0.063291139,0,0,0.037974684,0.101265823,0.85,0,0.15,0,0,0.15,0.15,Mixed Com,44.98,LMI,not_low,0.217391304,0.260869565,0.52173913,Edgewater,63,1312,32,678,1606,32,160,9,0,11,0,2075000,0,2305000,0,0.4,4,1,4,370000,425000,1280000,4,2,3
30604,1244,462,133,398,126,1119,490,83,27,65,38,213,60,4,5,16,3,28,14,10980000,470000,635000,2690000,0,3795000,3100000,28,35,36,3600000,5255000,8590000,22,2980000,703,2363,88,14775000,0.526449429,0.195514177,0.056284384,0.168429962,0.053322048,0.473550571,0.697012802,0.118065434,0.038406828,0.092460882,0.054054054,0.302987198,0.681818182,0.045454545,0.056818182,0.181818182,0.034090909,0.318181818,0.159090909,Mixed Com,79.6,LMI,low_inc,0.282828283,0.353535354,0.363636364,Edgewater,135,1857,67,1016,2212,27,51,40,3,44,1,6500000,515000,8000000,105000,0.284090909,12,8,20,1790000,1250000,3460000,10,9,2
30701,493,229,82,52,31,394,123,16,14,18,10,58,30,2,7,6,2,17,4,7150000,500000,1275000,1660000,0,3435000,1070000,14,15,22,2350000,3695000,6270000,12,2120000,181,887,47,10585000,0.555806088,0.258173619,0.092446449,0.058624577,0.034949267,0.444193912,0.679558011,0.08839779,0.077348066,0.099447514,0.055248619,0.320441989,0.638297872,0.042553191,0.14893617,0.127659574,0.042553191,0.361702128,0.085106383,Mixed Com,50.22,LMI,low_inc,0.274509804,0.294117647,0.431372549,Edgewater,84,2044,39,341,1032,44,108,10,9,28,0,2970000,1765000,6510000,0,0.574468085,7,0,3,1815000,0,1155000,7,7,NA
30702,934,43,70,359,62,534,666,24,42,134,18,218,64,10,16,26,4,56,23,9880000,1860000,2370000,4270000,0,8500000,3275000,47,47,47,5745000,7555000,8605000,35,4545000,884,1468,120,18380000,0.636239782,0.029291553,0.047683924,0.244550409,0.042234332,0.363760218,0.753393665,0.027149321,0.047511312,0.15158371,0.020361991,0.246606335,0.533333333,0.083333333,0.133333333,0.216666667,0.033333333,0.466666667,0.191666667,Mixed Com,75.8,LMI,low_inc,0.333333333,0.333333333,0.333333333,Edgewater,177,25783,76,3511,1659,26,9,42,2,74,2,6600000,210000,11860000,310000,0.3,28,8,6,4410000,1190000,1000000,34,30,5
30703,1168,333,170,85,31,619,338,68,21,53,3,145,71,3,10,11,2,26,18,18315000,795000,2240000,2915000,0,5950000,4350000,32,40,40,5660000,9970000,12840000,24,4470000,483,1787,97,24265000,0.653609401,0.186345831,0.095131505,0.047565753,0.01734751,0.346390599,0.699792961,0.140786749,0.043478261,0.109730849,0.00621118,0.300207039,0.731958763,0.030927835,0.103092784,0.113402062,0.020618557,0.268041237,0.18556701,Mixed Com,87.04,MI,not_low,0.285714286,0.357142857,0.357142857,Edgewater,109,3234,59,846,1870,68,269,24,1,71,1,6410000,135000,17985000,225000,0.422680412,13,3,8,3405000,1145000,1860000,5,4,2
30706,1285,255,106,302,14,677,558,25,33,70,2,130,52,1,10,5,0,16,17,11430000,235000,2000000,1205000,0,3440000,3975000,23,24,38,3605000,4580000,10660000,20,3160000,688,1962,68,14870000,0.654943935,0.129969419,0.054026504,0.153924567,0.007135576,0.345056065,0.811046512,0.036337209,0.047965116,0.101744186,0.002906977,0.188953488,0.764705882,0.014705882,0.147058824,0.073529412,0,0.235294118,0.25,Mixed Com,69.2,LMI,low_inc,0.270588235,0.282352941,0.447058824,Edgewater,85,1880,50,1414,2037,65,105,18,3,43,4,4510000,465000,8875000,1020000,0.338235294,8,5,5,1860000,1345000,1305000,13,9,3
30800,1527,26,196,201,28,451,726,13,67,82,0,162,131,1,12,5,0,18,26,70645000,845000,5970000,3385000,0,10200000,19300000,16,23,133,4220000,6495000,87785000,15,3975000,888,1978,149,80845000,0.771991911,0.01314459,0.09908999,0.101617796,0.014155713,0.228008089,0.817567568,0.01463964,0.07545045,0.092342342,0,0.182432432,0.879194631,0.006711409,0.080536913,0.033557047,0,0.120805369,0.174496644,Perdom. White,154.32,UI,not_low,0.093023256,0.13372093,0.773255814,Edgewater,348,11050,180,3527,2068,217,371,58,4,81,6,39240000,2380000,35755000,3470000,0.33557047,31,14,13,21485000,11060000,6695000,2,2,3
