Loan Date,Lender,Block,Street Direction,Street Name,Street Type,City,State,Zip,Ward,Industry,Latitude,Longitude,Location
03/12/2015,Accion,039XX,W,Armitage,Avenue,Chicago ,IL,60647,26,Auto/Vehicle,41.917280964,-87.726185515,"(41.917281, -87.726186)"
11/24/2014,Accion,048XX,S,Evans,Street,Chicago,IL,60615,4,Medical Services,41.806193422,-87.607859643,"(41.806193, -87.60786)"
06/30/2014,Accion,017XX,W,North,Avenue,Chicago,IL,60622,32,Retail Stores,41.910676883,-87.672126285,"(41.910677, -87.672126)"
10/07/2013,WBDC,006XX,W,Cermak,Avenue,Chicago,IL,60608,25,Other Services,41.852790641,-87.64364221,"(41.852791, -87.643642)"
03/30/2015,Accion,013XX,W,Wrightwood,Avenue,Chicago,IL,60614,32,Retail Sales ,41.928964527,-87.663049927,"(41.928965, -87.66305)"
10/20/2014,Accion,111XX,S,Western,Avenue,Chicago,IL,60643,19,Medical Services,41.690214082,-87.681251795,"(41.690214, -87.681252)"
06/14/2013,Accion,017XX,W,Chicago,Avenue,Chicago,IL,60622,1,Other Services,41.896110115,-87.671694946,"(41.89611, -87.671695)"
10/07/2013,WBDC,011XX,S,State,Street,Chicago,IL,60605,2,Other Services,41.867936373,-87.627580413,"(41.867936, -87.62758)"
04/26/2013,Accion,011XX,W,111th,Street,Chicago,IL,60643,34,Food/Beverage,41.692353493,-87.651688246,"(41.692353, -87.651688)"
11/06/2014,Accion,111XX,S,Longwood,Drive,Chicago,IL,60643,19,Professional/Off Svc,41.690441874,-87.672331394,"(41.690442, -87.672331)"
08/31/2015,Accion,087XX,S,Racine,Avenue,Chicago,IL,60620,21,Retail Services - Other,41.734425227,-87.653443031,"(41.734425, -87.653443)"
05/01/2015,WBDC,027XX,W,Potomac,Avenue,Chicago,IL,60622,26,Retail Sales - Other,41.904865295,-87.696497802,"(41.904865, -87.696498)"
10/07/2013,WBDC,000XX,E,14th,Street,Chicago,IL,60605,2,Professional/Off Svc,41.864181307,-87.625403212,"(41.864181, -87.625403)"
07/15/2013,WBDC,003XX,W,18th,Street,Chicago,IL,60616,25,Construction/Repair,41.857814473,-87.636746844,"(41.857814, -87.636747)"
12/23/2015,CNI,000XX,N,Wacker,Drive,Chicago,IL,60606,42,Professional/Off Svc,41.883134296,-87.637191526,"(41.883134, -87.637192)"
08/30/2013,Accion,004XX,E,Randolph,Street,Chicago,IL,60601,42,Auto/Vehicle,41.884483688,-87.615456174,"(41.884484, -87.615456)"
08/15/2014,Accion,038XX,N,Lincoln,Avenue,Chicago,IL,60613,47,Education,41.951797588,-87.677279839,"(41.951798, -87.67728)"
11/09/2015,WBDC,049XX,N,Francisco,Avenue,Chicago,IL,60625,40,Enviromental Consulting,41.972082832,-87.701396229,"(41.972083, -87.701396)"
03/15/2013,CNI,003XX,E,79th,Street,Chicago,IL,60619,6,Retail Sales - Other,41.75120691,-87.616146156,"(41.751207, -87.616146)"
