Loan Date,Lender,Block,Street Direction,Street Name,Street Type,City,State,Zip,Ward,Industry,Latitude,Longitude,Location
04/17/2013,Accion,022XX,S,Troop,Street,Chicago,IL,60608,25,Other Services,41.85096156,-87.658810143,"(41.850962, -87.65881)"
08/16/2013,CNI,028XX,E,79th,Street,Chicago,IL,60649,7,Other Services,41.751993753,-87.554961229,"(41.751994, -87.554961)"
01/07/2015,CNI,021XX,S,Canalport,Street,Chicago,IL,60608,6,Construction,41.853301464,-87.649929695,"(41.853301, -87.64993)"
05/25/2013,CNI,045XX,S,St Lawrence,Street,Chicago,IL,60653,3,Construction/Repair,41.811593819,-87.611651694,"(41.811594, -87.611652)"
10/18/2013,CNI,039XX,W,Lawrence,Avenue,Chicago,IL,60625,39,Professional/Off Svc,41.968356466,-87.727656367,"(41.968356, -87.727656)"
11/25/2014,Accion,074XX,W,Irving Pk.,Rd.,Chicago,IL,60634,38,Other Services,41.952711949,-87.814246268,"(41.952712, -87.814246)"
09/03/2014,Accion,059XX,W,Patterson,Avenue,Chicago,IL,60634,36,Medical Services,41.946795663,-87.776116779,"(41.946796, -87.776117)"
10/31/2013,WBDC,003XX,S,Michigan,Avenue,Chicago,IL,60604,2,Transportation,41.877066783,-87.62443921,"(41.877067, -87.624439)"
09/29/2015,Accion,021XX,N,Milwaukee,Avenue,Chicago,IL,60647,1,Retail Stores,41.920230129,-87.693217337,"(41.92023, -87.693217)"
03/11/2013,Accion,039XX,N,Seeley,Avenue,Chicago,IL,60618,47,Arts/Crafts Production,41.953819581,-87.680104184,"(41.95382, -87.680104)"
02/16/2016,Accion,057XX,N,Winthrop,Avenue,Chicago,IL,60660,48,Arts/Crafts Production,41.986987321,-87.6582672,"(41.986987, -87.658267)"
10/23/2015,CNI,019XX,W,87th,Street,Chicago,IL,60620,20,Professional/Off Svc,41.735766874,-87.672396457,"(41.735767, -87.672396)"
07/17/2015,Accion,016XX,W,21st ,Street,Chicago,IL,60608,25,"Fashion, jewelry, art and sewing/ jewelry classes",41.854222612,-87.668174117,"(41.854223, -87.668174)"
08/07/2015,WBDC,003XX,W,18th,Street,Chicago,IL,60616,25,Construction/Repair,41.857814473,-87.636746844,"(41.857814, -87.636747)"
05/31/2013,Accion,032XX,W.,84th,Street,Chicago,IL,60652,18,Other Services,41.740745482,-87.704159892,"(41.740745, -87.70416)"
04/04/2014,CNI,045XX,S,Greenwood,Avenue,Chicago,IL,60653,4,Other Services,41.811751058,-87.599457832,"(41.811751, -87.599458)"
07/10/2013,Accion,075XX,S,Clyde,Avenue,Chicago,IL,60649,8,Professional/Off Svc,41.757403429,-87.573811245,"(41.757403, -87.573811)"
08/30/2013,Accion,017XX,N,Mason,Street,Chicago,IL,60639,29,Food/Beverage,41.912597808,-87.774226348,"(41.912598, -87.774226)"
06/04/2015,WBDC,008XX,W,63rd,Street,Chicago,IL,60621,20,,41.779826797,-87.646902618,"(41.779827, -87.646903)"
11/13/2014,Accion,025XX,W,Lawrence,Avenue,Chicago,IL,60625,40,Food/Beverage,41.968685531,-87.693369954,"(41.968686, -87.69337)"
07/28/2014,Accion,059XX,S,Michigan,Avenue,Chicago,IL,60637,20,Construction/Repair,41.785900266,-87.622383571,"(41.7859, -87.622384)"
03/21/2013,Accion,026XX,W,Toughy,Avenue,Chicago,IL,60645,50,Medical Services,42.012241707,-87.697008884,"(42.012242, -87.697009)"
12/10/2012,Accion,030XX,N,Lincoln,Avenue,Chicago,IL,60657,32,Retail Stores,41.937149264,-87.665352278,"(41.937149, -87.665352)"
07/16/2013,Accion,023XX,N,Milwaukee,Avenue,Chicago,IL,60647,1,Food/Beverage,41.92383417,-87.699100155,"(41.923834, -87.6991)"
11/14/2013,Accion,016XX,W,21st ,Street,Chicago,IL,60608,25,Retail Stores,41.854222612,-87.668174117,"(41.854223, -87.668174)"
03/29/2013,Accion,022XX,N,Menard,Street,Chicago,IL,60639,36,Food/Beverage,41.921776007,-87.770924082,"(41.921776, -87.770924)"
07/29/2013,Accion,010XX,E,76th,Street,Chicago,IL,60619,8,Beauty/Salon Services,41.75705433,-87.598819545,"(41.757054, -87.59882)"
09/10/2015,CNI,106XX,S,Yates,Avenue,Chicago,IL,60617,41,Other Services,41.701271823,-87.564135629,"(41.701272, -87.564136)"
06/30/2014,Accion,038XX,W,Chicago,Avenue,Chicago,IL,60651,37,Professional/Off Svc,41.895502619,-87.723239039,"(41.895503, -87.723239)"
06/26/2013,WBDC,033XX,W,Foster,Avenue,Chicago,IL,60625,39,Retail Sales - Other,41.975806213,-87.713183389,"(41.975806, -87.713183)"
04/01/2015,CNI,077XX,S,Calumet,Avenue,Chicago,IL,60619,6,Other Services - Childcare,41.75322778,-87.616735646,"(41.753228, -87.616736)"
12/16/2013,Accion,034XX,W,Armitage,Avenue,Chicago,IL,60647,26,Retail Sales - Other,41.917434655,-87.713445161,"(41.917435, -87.713445)"
02/23/2015,Accion,034XX,N,Pulaski,Avenue,Chicago,IL,60641,30,Restaurant - Full Service,41.944183101,-87.727478918,"(41.944183, -87.727479)"
07/15/2015,CNI,017XX,E,92nd,Street,Chicago,IL,60617,7,Other Services,41.727980124,-87.580634236,"(41.72798, -87.580634)"
12/12/2014,Accion,000XX,N,LaSalle,Street,Chicago,IL,60602,42,Professional/Off Svc,41.883173368,-87.632552736,"(41.883173, -87.632553)"
04/15/2013,CNI,016XX,E,87th,Street,Chicago,IL,60619,8,Professional/Off Svc,41.737058488,-87.583180907,"(41.737058, -87.583181)"
05/25/2013,CNI,021XX,W,Division,Street,Chicago,IL,60647,32,Retail Sales - Other,41.903222949,-87.681718412,"(41.903223, -87.681718)"
10/04/2013,WBDC,081XX,S,Langley,St,Chicago,IL,60619,6,Education,41.746075485,-87.607663164,"(41.746075, -87.607663)"
03/09/2015,CNI,077XX,S,Albany,Avenue,Chicago,IL,60652,18,Other Services -Childcare,41.752003688,-87.700161747,"(41.752004, -87.700162)"
10/20/2012,Accion,048XX,S,Michigan,Avenue,Chicago,IL,60615,3,Professional/Off Svc,41.805960625,-87.622895681,"(41.805961, -87.622896)"
12/04/2012,CNI,016XX,W,87th,Street,Chicago,IL,60620,21,Retail Sales - Other,41.735873186,-87.665125327,"(41.735873, -87.665125)"
02/16/2016,CNI,092XX,S,Commercial, Avenue ,Chicago,IL,60617,7,Transportation,41.726813141,-87.551328661,"(41.726813, -87.551329)"
09/16/2014,CNI,081XX,S,Cornell,Avenue,Chicago,IL,60617,8,Construction,41.746689547,-87.584327648,"(41.74669, -87.584328)"
11/18/2014,CNI,001XX,E,83rd,Street,Chicago,IL,60619,6,Service,41.743840448,-87.619653944,"(41.74384, -87.619654)"
06/18/2014,WBDC,043XX,W,Fullerton,Avenue,Chicago,IL,60639,31,Professional/Off Svc,41.924479361,-87.736194413,"(41.924479, -87.736194)"
04/01/2013,Accion,000XX,E,Jackson,Boulevard,Chicago ,IL,60604,42,Other Services,41.878362592,-87.625789895,"(41.878363, -87.62579)"
10/09/2015,CNI,015XX,E,53rd ,Street,Chicago,IL,60615,5,Retail Sales - Other,41.799674501,-87.587171084,"(41.799675, -87.587171)"
07/15/2015,CNI,028XX,E,79th,Street,Chicago,IL,60649,27,Other Services,41.751993753,-87.554961229,"(41.751994, -87.554961)"
01/11/2013,CNI,108XX,S,Langley,Avenue,Chicago,IL,60628,9,Transportation,41.696425687,-87.606214973,"(41.696426, -87.606215)"
11/08/2013,WBDC,044XX,N,Ravenswood,Avenue,Chicago,IL,60640,47,Medical Services,41.963019851,-87.674712135,"(41.96302, -87.674712)"
01/29/2016,Accion,005XX,N,Michigan,Avenue,Chicago,IL,60611,42,Retail Sales - Other,41.892511145,-87.624330958,"(41.892511, -87.624331)"
02/23/2015,CNI,112XX,S,Saint Lawrence,Avenue,Chicago,IL,60628,9,Food/Beverage,41.689529257,-87.608493489,"(41.689529, -87.608493)"
03/29/2013,Accion,017XX,W,79th,Street,Chicago,IL,60620,17,Food/Beverage,41.750406805,-87.667897611,"(41.750407, -87.667898)"
06/30/2014,Accion,016XX,W,21st ,Street,Chicago,IL,60608,25,Retail Stores,41.854222612,-87.668174117,"(41.854223, -87.668174)"
11/10/2012,Accion,002XX,W,Eugenie,Street,Chicago,IL,60614,2,Food/Beverage,41.912962356,-87.636673056,"(41.912962, -87.636673)"
01/30/2014,Accion,068XX,S.,Pulaski,Avenue,Chicago,IL,60629,13,Retail Sales - Other,41.768013884,-87.722638914,"(41.768014, -87.722639)"
02/10/2016,CNI,040XX,S,Lake , Park ,Chicago,IL,60653,5,Manufacturing,41.821064248,-87.601609066,"(41.821064, -87.601609)"
03/19/2013,Accion,036XX,N,Narragansett,Avenue,Chicago,IL,60634,36,Other Services,41.947201266,-87.786459059,"(41.947201, -87.786459)"
04/25/2014,CNI,022XX,S,Michigan,Avenue,Chicago,IL,60616,2,Professional/Off Svc,41.851416506,-87.623912577,"(41.851417, -87.623913)"
09/15/2014,CNI,003XX,E,Ohio,Street,Chicago,IL,60611,42,Real Estate Consultant,41.892741648,-87.618288156,"(41.892742, -87.618288)"
11/10/2012,Accion,036XX,S,Canal,Street,Chicago,IL,60609,11,Clothing/Material Production,41.827515865,-87.637920743,"(41.827516, -87.637921)"
12/10/2012,Accion,087XX,S,Racine,Avenue,Chicago,IL,60620,21,Retail Sales - Other,41.734425227,-87.653443031,"(41.734425, -87.653443)"
05/09/2013,Accion,063XX,S.,Kolin,Avenue,Chicago,IL,60629,13,Construction/Repair,41.777016532,-87.731410259,"(41.777017, -87.73141)"
12/20/2012,Accion,013XX,N,Paulina,Street,Chicago,IL,60622,1,Arts/Crafts Production,41.906544266,-87.670164899,"(41.906544, -87.670165)"
05/22/2014,Accion,064XX,S,Pulaski,Avenue,Chicago,IL,60629,13,Food/Beverage,41.775286556,-87.722819282,"(41.775287, -87.722819)"
07/02/2014,Accion,063XX,W,Cuyler,Avenue,Chicago,IL,60634,38,Food/Beverage,41.953948536,-87.786167289,"(41.953949, -87.786167)"
